/SYS/ACPI        | 0x1        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
FB/FM0/F0/TACH   | 5000.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM0/F1/TACH   | 4200.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM1/F0/TACH   | 5100.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM1/F1/TACH   | 4300.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM2/F0/TACH   | 5200.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM2/F1/TACH   | 4300.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM3/F0/TACH   | 5200.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM3/F1/TACH   | 4300.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM4/F0/TACH   | 5000.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM4/F1/TACH   | 4300.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM5/F0/TACH   | 5000.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
FB/FM5/F1/TACH   | 4200.000   | RPM        | ok    | 2400.000  | na        | na        | na        | na        | na        
INTSW            | 0x1        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
B0/C0/D0/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B0/C0/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B0/C1/D0/T       | 41.000     | degrees C  | ok    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B0/C1/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B1/C0/D0/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B1/C0/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B1/C1/D0/T       | 38.000     | degrees C  | ok    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B1/C1/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B2/C0/D0/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B2/C0/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B2/C1/D0/T       | 39.000     | degrees C  | ok    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B2/C1/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B3/C0/D0/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B3/C0/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B3/C1/D0/T       | 40.000     | degrees C  | ok    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
B3/C1/D1/T       | na         |            | na    | -10.000   | -8.000    | -5.000    | 85.000    | 90.000    | 95.000    
MB/C0/I_VDDA     | 12.512     | Amps       | ok    | na        | na        | na        | na        | na        | na        
MB/C0/T_BCORE    | 41.000     | degrees C  | ok    | -14.000   | -9.000    | -4.000    | 86.000    | 96.000    | 106.000   
MB/C0/T_TCORE    | 45.000     | degrees C  | ok    | -14.000   | -9.000    | -4.000    | 86.000    | 96.000    | 106.000   
MB/C0/V_VCORE    | 1.125      | Volts      | ok    | 1.000     | 1.025     | 1.075     | 1.175     | 1.200     | 1.225     
MB/C0/V_VDDA     | 1.053      | Volts      | ok    | 0.956     | 0.975     | 1.014     | 1.092     | 1.112     | 1.151     
MB/C0/V_VNW      | 1.127      | Volts      | ok    | na        | na        | na        | na        | na        | na        
